"Report Date","Time Scrapped","Part No","Part Type","Material","Serial No","Operation","Quantity","Weight","Scrap Reason","Workcenter","Location","Cavity Code","Coordinate","Unit Cost","Extended Cost","Note"
"3/17/2026","11:22 PM","9-073-022-461M","TRANSFER CASES",,"MLT8009623","Machining Pierce Part (Final)","2","21.20","M06-Machine Alarm","CNC Makino14 214","Plant B Makino Conveyor",,,"$41.10","$82.19",
"3/17/2026","11:52 PM","9-073-022-461M","TRANSFER CASES",,"MLT8009624","Machining Pierce Part (Final)","2","21.20","M06-Machine Alarm","CNC Makino15 214","Plant B Makino Conveyor",,,"$41.10","$82.19",
"3/17/2026","11:55 PM","9-072-022-422","TRANSFER CASES",,"MLT8009596","Leak Test FG","1","3.54","M05-Overcut","LT-CD6 Explorer Cover 215","Zone 2",,,"$25.96","$25.96",
"3/17/2026","12:03 AM","9-073-022-460M","TRANSFER CASES",,"MLT8009682","Machining Pierce Part (Final)","4","44.00","M01-Porosity","CNC Makino11 214","CNC Makino11 214",,,"$42.94","$171.78",
"3/17/2026","12:03 AM","9-072-022-422","TRANSFER CASES",,"MLT8009596","Leak Test FG","3","10.62","D15-Sinks","LT-CD6 Explorer Cover 215","Zone 2",,,"$25.96","$77.87",
"3/17/2026","12:03 AM","9-072-022-422","TRANSFER CASES",,"MLT8009596","Leak Test FG","1","3.54","D25-Leaker","LT-CD6 Explorer Cover 215","Zone 2",,,"$25.96","$25.96",
"3/17/2026","12:06 AM","9-032-010-147W","MAG - BRACKETS",,"MLT8007793","Die Cast Part Shot","3","13.49","D04-Crack","MA DRDX 204","MA DRDX 204","34",,"$18.06","$54.19","33"
"3/17/2026","12:07 AM","9-032-010-147W","MAG - BRACKETS",,"MLT8007928","Die Cast Part Shot","1","4.50","D04-Crack","MA DRDX 204","MA DRDX 204","34",,"$18.06","$18.06","33"
"3/17/2026","12:14 AM","9-037-016-482W","MAG - FULL INSTRUMENT PANELS &lt; 15 LBS",,"MLT7997170","Die Cast Part Shot","2","22.47","D06-Trim Damage","MA WL LHD IP 252B","WL Components","F",,"$46.97","$93.94","Cav F - Mar 6 FO APPROVED"
"3/17/2026","12:14 AM","9-037-016-482W","MAG - FULL INSTRUMENT PANELS &lt; 15 LBS",,"MLT7997170","Die Cast Part Shot","7","78.65","D04-Crack","MA WL LHD IP 252B","WL Components","F",,"$46.97","$328.79","Cav F - Mar 6 FO APPROVED"
